City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,mata-utu,-13.2816,-176.1745,27.45,83,100,5.13,WF,1699465692
130,vadso,70.0744,29.7487,-1.51,80,75,4.63,NO,1699465540
131,koton-karfe,8.1,6.8,29.33,54,6,1.69,NG,1699465693
132,antonio enes,-16.2325,39.9086,27.18,72,46,7.26,MZ,1699465693
133,happy valley-goose bay,53.3168,-60.3315,-1.83,86,100,9.26,CA,1699465693
134,puli,23.9664,120.9695,23.45,81,100,1.51,TW,1699465693
135,slave lake,55.2834,-114.769,0.99,60,75,12.35,CA,1699465535
136,pandan,14.0453,124.1694,26.56,88,64,3.8,PH,1699465694
137,geraldton,-28.7667,114.6,20.23,73,100,5.14,AU,1699465694
138,talnakh,69.4865,88.3972,-6.55,93,100,9.75,RU,1699465694
139,udachny,66.4167,112.4,-22.2,91,5,2.49,RU,1699465694
140,valparaiso,-33.0393,-71.6273,26.13,38,0,7.72,CL,1699465694
141,coahuayana de hidalgo,18.7,-103.6583,32.23,54,13,2.05,MX,1699465695
142,linhares,-19.3911,-40.0722,28.91,39,0,4.37,BR,1699465695
143,kakonko,-3.2828,30.9642,19.61,89,92,1.28,TZ,1699465695
144,port alfred,-33.5906,26.891,16.77,84,3,0.89,ZA,1699465695
145,kapa'a,22.0752,-159.319,25.18,89,75,4.63,US,1699465695
146,gornozavodsk,58.3758,58.3211,1.08,99,100,1.13,RU,1699465695
147,ust-nera,64.5667,143.2,-29.25,99,100,1.61,RU,1699465695
148,palmer,42.1584,-72.3287,6.75,41,40,4.12,US,1699465696
149,summit park,40.7458,-111.6116,2.77,74,77,1.79,US,1699465696
150,saipan,15.1355,145.701,28.39,78,20,5.66,MP,1699465696
151,escanaba,45.7453,-87.0646,4.98,81,100,6.17,US,1699465623
152,hastings,50.8552,0.5729,12.4,94,100,3.48,GB,1699465696
153,altai,46.3722,96.2583,-12.4,83,69,0.57,MN,1699465696
154,zhalantun,48.0,122.7167,-13.62,88,99,2.85,CN,1699465697
155,labrador city,52.9463,-66.9114,-8.05,73,75,8.23,CA,1699465697
156,alvaraes,-3.2208,-64.8042,30.93,47,100,1.03,BR,1699465697
157,ponta delgada,37.7333,-25.6667,20.66,94,75,6.69,PT,1699465697
158,olyokminsk,60.3736,120.4264,-22.15,99,76,0.29,RU,1699465697
159,kham sakae saeng,15.3322,102.1728,28.84,74,99,0.52,TH,1699465697
160,stanley,54.868,-1.6985,6.01,81,20,4.63,GB,1699465698
161,bubaque,11.2833,-15.8333,29.3,66,56,3.0,GW,1699465698
162,praia,14.9215,-23.5087,28.3,57,40,7.72,CV,1699465698
163,north battleford,52.7834,-108.2847,1.34,69,0,7.72,CA,1699465698
164,kenai,60.5544,-151.2583,1.19,88,100,7.2,US,1699465698
165,guerrero negro,27.9769,-114.0611,20.38,65,15,7.95,MX,1699465698
166,hermanus,-34.4187,19.2345,14.64,72,0,2.82,ZA,1699465698
167,taltal,-25.4,-70.4833,15.61,80,58,2.11,CL,1699465699
168,teknaf,20.8624,92.3058,21.08,84,4,3.47,BD,1699465699
169,utrik,11.2278,169.8474,27.7,79,83,10.45,MH,1699465699
170,pahrump,36.2083,-115.9839,15.7,26,0,4.47,US,1699465699
171,timimoun,29.2639,0.231,26.21,31,75,8.23,DZ,1699465699
172,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699465699
173,cidreira,-30.1811,-50.2056,25.61,66,100,1.17,BR,1699465485
174,barkhan,29.8977,69.5256,18.3,41,16,0.98,PK,1699465700
175,puerto armuelles,8.2833,-82.8667,30.99,84,100,3.13,PA,1699465700
176,quellon,-43.1167,-73.6167,12.89,66,87,2.04,CL,1699465700
177,borodulikha,50.7184,80.9295,0.19,50,65,2.71,KZ,1699465700
178,vorkuta,67.5,64.0,0.66,99,100,3.25,RU,1699465700
179,torrington,41.8007,-73.1212,7.05,57,21,3.58,US,1699465590
180,vila velha,-20.3297,-40.2925,26.97,65,0,5.14,BR,1699465700
181,afaahiti,-17.75,-149.2833,25.93,87,93,9.46,PF,1699465701
182,alice springs,-23.7,133.8833,28.75,21,75,4.63,AU,1699465464
183,owen sound,44.5672,-80.9435,0.54,70,100,0.89,CA,1699465652
